Packet #,Timestamp,Source IP,Destination IP,Protocol,Length (B),Source Port,Destination Port,TCP Flags,DNS Query,DNS Query Type,DNS Response,ICMP Type,ICMP Code,HTTP Host,HTTP Method,HTTP URI,TLS Version,Info
67,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
68,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
69,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
70,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
71,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
72,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
73,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
74,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
75,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
76,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
77,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
78,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
79,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
80,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
81,12:48:51.264,192.168.167.137,172.217.114.4,HTTPS/TLS,35354,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
82,12:48:51.277,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
83,12:48:51.277,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
84,12:48:51.277,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
85,12:48:51.277,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
86,12:48:51.277,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
87,12:48:51.277,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
88,12:48:51.277,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
89,12:48:51.277,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
90,12:48:51.277,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
91,12:48:51.277,192.168.167.137,172.217.114.4,HTTPS/TLS,25470,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
92,12:48:51.307,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
93,12:48:51.307,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
94,12:48:51.307,192.168.167.137,172.217.114.4,HTTPS/TLS,4290,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
95,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
96,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
97,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
98,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
99,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
100,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
101,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
102,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
103,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
104,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
105,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
106,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
107,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
108,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
109,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
110,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
111,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
112,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
113,12:48:51.312,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
114,12:48:51.312,192.168.167.137,172.217.114.4,HTTPS/TLS,55122,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
115,12:48:51.316,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
116,12:48:51.316,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
117,12:48:51.316,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
118,12:48:51.316,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
119,12:48:51.316,192.168.167.137,172.217.114.4,HTTPS/TLS,11350,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
120,12:48:51.323,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
121,12:48:51.323,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
122,12:48:51.323,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
123,12:48:51.323,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
124,12:48:51.323,192.168.167.137,172.217.114.4,HTTPS/TLS,11350,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
125,12:48:51.324,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
126,12:48:51.324,192.168.167.137,172.217.114.4,HTTPS/TLS,2878,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
127,12:48:51.327,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
128,12:48:51.327,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
129,12:48:51.327,192.168.167.137,172.217.114.4,HTTPS/TLS,5702,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
130,12:48:51.333,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
131,12:48:51.333,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
132,12:48:51.333,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
133,12:48:51.333,192.168.167.137,172.217.114.4,HTTPS/TLS,9938,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
134,12:48:51.338,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
135,12:48:51.338,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
136,12:48:51.338,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
137,12:48:51.338,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
138,12:48:51.338,192.168.167.137,172.217.114.4,HTTPS/TLS,11350,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
139,12:48:51.343,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
140,12:48:51.343,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
141,12:48:51.343,192.168.167.137,172.217.114.4,HTTPS/TLS,5702,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
142,12:48:51.348,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
143,12:48:51.348,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
144,12:48:51.348,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
145,12:48:51.348,192.168.167.137,172.217.114.4,HTTPS/TLS,11350,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
146,12:48:51.357,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
147,12:48:51.357,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
148,12:48:51.357,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
149,12:48:51.357,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
150,12:48:51.357,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
151,12:48:51.357,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
152,12:48:51.357,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
153,12:48:51.357,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
154,12:48:51.357,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
155,12:48:51.357,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
156,12:48:51.357,192.168.167.137,172.217.114.4,HTTPS/TLS,794,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
157,12:48:51.357,192.168.167.137,172.217.114.4,HTTPS/TLS,726,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
158,12:48:51.357,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
159,12:48:51.358,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
160,12:48:51.358,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
161,12:48:51.358,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
162,12:48:51.358,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
163,12:48:51.363,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
164,12:48:51.363,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
165,12:48:51.363,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
166,12:48:51.363,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
167,12:48:51.384,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
168,12:48:51.384,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
169,12:48:51.384,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
170,12:48:51.384,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
171,12:48:51.384,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
172,12:48:51.385,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
173,12:48:51.385,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
174,12:48:51.385,192.168.167.137,172.217.114.4,HTTPS/TLS,1466,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
175,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
176,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
177,12:48:51.387,172.217.114.4,192.168.167.137,HTTPS/TLS,70,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
